,uuid,timestamp,gps_lat,gps_lon,gps_alt,file_size,width,height,s3_path,url
1599,c06c0b9299ce6444f3fd85d36e08f91ec7ae5f0d,2017-10-04 15:45:55,17.974245,-66.2414283333333,405.0,7426538.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614044/A0153_AP_f2900b71-b063-4602-b0a0-551101dfc9af.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614044/A0153_AP_f2900b71-b063-4602-b0a0-551101dfc9af.jpg
3543,2e3eeea26efde2052a030f39d875d2f3d988afb2,2015-10-07 19:31:38,33.2352316666667,-80.8498883333333,462.0,6173630.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/1013/20184/DSC_1744_34a12bd8-2cdc-42d1-8259-a8b66e0a6aaf.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20184/DSC_1744_34a12bd8-2cdc-42d1-8259-a8b66e0a6aaf.jpg
4804,26ade370fa6616a9a33996c05a5dd7d25d9d32f1,2015-10-09 15:35:03,32.9860633333333,-80.4304216666667,392.0,5440369.0,4288.0,2848.0,s3://ladi/Images/FEMA_CAP/1013/20212/DSC_0505_088f7121-c999-4355-8322-79e3a8e1870a.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/1013/20212/DSC_0505_088f7121-c999-4355-8322-79e3a8e1870a.jpg
11519,f0c40514ea5d6ae5fbcd9a5bbc949efaba1f9953,2017-09-08 15:42:16,18.4775533333333,-66.69199,393.0,6303056.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9074/613600/DSC_1364_ea22cb70-708c-459f-807d-81aa2d042dd4.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9074/613600/DSC_1364_ea22cb70-708c-459f-807d-81aa2d042dd4.jpg
15258,9fb63bca97da3e18a47d9dd8fa0d0e802507b1ff,2017-10-04 16:41:52,18.2846483333333,-65.631105,444.0,6089253.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614045/A0085_AP_4e7a9a56-2844-494b-ab57-203be28ce890.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614045/A0085_AP_4e7a9a56-2844-494b-ab57-203be28ce890.jpg
18631,f2ac0c9d540b7ef60dd482697216b5d996e68ca3,2017-09-10 14:18:59,29.964309999999998,-95.58923,455.0,11931451.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613823/DSC_2066_2bded156-d573-499e-8cec-cf38e29f3f27.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613823/DSC_2066_2bded156-d573-499e-8cec-cf38e29f3f27.jpg
18895,c7fd2767979c988783d38e8fa729ac84a959eb3f,2017-10-04 17:10:23,18.208865,-65.66968,667.0,6602639.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614045/A0085_AP_7cec9e59-264f-4ac3-8672-840016633b2b.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614045/A0085_AP_7cec9e59-264f-4ac3-8672-840016633b2b.jpg
19407,046ae0d43f7d4c4768b6faa55330a273dd25541f,2017-09-08 18:34:42,30.002985,-93.9420733333333,317.0,13441561.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613904/CAP_1320_1e567b2f-ec4e-4ac7-98e5-3b09518121f1.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613904/CAP_1320_1e567b2f-ec4e-4ac7-98e5-3b09518121f1.jpg
19778,daa9b246afc8c4db5b3ddcc7c107f6da4191a45f,2017-09-26 13:04:29,18.233165,-65.5924883333333,348.0,8356343.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614001/A0027-96_fb142e1e-f475-4d91-b42e-921cd697066c.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614001/A0027-96_fb142e1e-f475-4d91-b42e-921cd697066c.jpg
20854,d31ccca7d938b63fcf8b043a1c877641464eaa48,2017-09-08 12:25:51,29.533591666666698,-95.481505,422.0,15628356.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613897/DSC_5300_2e21b4a1-a169-40a5-9f8f-24f373ce5405.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613897/DSC_5300_2e21b4a1-a169-40a5-9f8f-24f373ce5405.jpg
21870,a0d829ad827327bfaaf89297d7015876d879fa48,2017-09-08 12:37:21,29.670821666666697,-95.4766933333333,369.0,15312294.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613897/DSC_5390_6487935f-c98a-49c4-8afe-ae29127b6977.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613897/DSC_5390_6487935f-c98a-49c4-8afe-ae29127b6977.jpg
26953,36a8a2197e7fd2b48a1ad1c29ea6a95f6d3ffd0f,2017-10-04 16:43:22,18.3261583333333,-65.6322316666667,417.0,7956830.0,4496.0,3000.0,s3://ladi/Images/FEMA_CAP/9075/614045/A0085_AP_efad9e67-9a14-459a-a85f-a3143dda385f.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614045/A0085_AP_efad9e67-9a14-459a-a85f-a3143dda385f.jpg
28039,b04951f4fcf73663eb4b6237e43318e92701c5a5,2017-09-02 16:04:54,29.686345000000003,-96.0683816666667,384.0,9250938.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613560/DSC_0285_2e696514-06d2-43f6-9473-ca7361b98e80.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613560/DSC_0285_2e696514-06d2-43f6-9473-ca7361b98e80.jpg
30032,1c6a69ea908f43d41bc52c46b591a45ec323a8f8,2017-09-18 13:31:02,27.98309,-82.15565500000001,311.0,11581799.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9074/613834/DSC_3719_3203666d-c401-487d-8591-755bf3a0e6a5.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9074/613834/DSC_3719_3203666d-c401-487d-8591-755bf3a0e6a5.jpg
31664,ab0d242744c46213bce7000ceb185d5992034406,2017-09-10 12:45:29,30.17747,-93.79021166666669,488.0,13951415.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613808/DSC_0161ab0018dd-739c-43fa-8205-770895f5473f.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613808/DSC_0161ab0018dd-739c-43fa-8205-770895f5473f.jpg
32756,55d8d0ddb62d9872962be5fb4740c7d17716a693,2016-08-14 11:56:43,30.41527,-91.0318533333333,399.0,12904462.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/3033/231165/010_2796_2ff1f442-2f7a-47e3-a0b1-9ff1ced05bff.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/3033/231165/010_2796_2ff1f442-2f7a-47e3-a0b1-9ff1ced05bff.jpg
38947,083b113c70dbd422ba4874763e5778297c822bfd,2017-09-08 19:35:14,27.925795,-97.1493883333333,295.0,11771881.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613926/DSC_2961.JPG,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613926/DSC_2961.JPG
40019,71b95c6667f42030091c46f699c52988666c6335,2017-09-08 18:53:24,30.3889266666667,-94.0986,342.0,14826378.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9073/613904/CAP_1862_a60706d3-8557-4e13-8a21-f6d2b7dc43b4.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9073/613904/CAP_1862_a60706d3-8557-4e13-8a21-f6d2b7dc43b4.jpg
41565,573c5877a4f61999c39a7ea15c8f33abf53a371e,2017-10-19 13:46:41,18.240585,-66.5667183333333,1346.0,6143201.0,3600.0,2400.0,s3://ladi/Images/FEMA_CAP/9075/614147/A0032_AP_b8b491f2-631c-4057-8b55-a8ba101e81dc.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614147/A0032_AP_b8b491f2-631c-4057-8b55-a8ba101e81dc.jpg
46493,0e507763aa85eb86472f2fc6aee62039ec89931c,2017-09-26 14:26:39,18.209038888888898,-65.7344888888889,490.0,3481564.0,4608.0,3456.0,s3://ladi/Images/FEMA_CAP/9075/614003/A0027V01_26cb625d-a29a-4912-9625-765584d40390.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9075/614003/A0027V01_26cb625d-a29a-4912-9625-765584d40390.jpg
48102,b9ebd04ad8ceeef360180dab6aa37ee08a552523,2017-09-18 15:03:29,25.9359583333333,-80.2736,305.0,11642477.0,6000.0,4000.0,s3://ladi/Images/FEMA_CAP/9074/613848/DSC_0094_4da75526-5baf-4603-bff0-4877cf9a32ab.jpg,https://ladi.s3-us-west-2.amazonaws.com/Images/FEMA_CAP/9074/613848/DSC_0094_4da75526-5baf-4603-bff0-4877cf9a32ab.jpg
